,gid,Animal ID,Level,Level Reason,Special Intake Information,HW,Sex,Microchip ID,Rabies Revaccination Date,Weight,Hold,Current Status,Age,Location,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,IntakeDate,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed,parent gid,parent completed
0,1206398747849450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1206386867201919,False
1,1211179520215738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179381346831,False
2,1211179383174766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179456656354,False
3,1211179518484211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179383246094,False
4,1211179517336728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179379966012,False
5,1211179456468126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179381346928,False
6,1211179456030958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179452304104,False
7,1211179382866339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179521057219,False
8,1211179456368700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179519012045,False
9,1211179521010172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179455668677,False
10,1211179377270041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179456546201,False
11,1211179521007811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179383112320,False
12,1211179520569036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179377942045,False
13,1211179520916237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179456546187,False
14,1211179382812988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179518559236,False
15,1211179456570839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179456537322,False
16,1211179455137308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179520877751,False
17,1211179381890335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179456537418,False
18,1211179517501493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179455196100,False
19,1211179455680306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179517810381,False
20,1211179520470665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179380897394,False
21,1211179381536236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179514447080,False
22,1211179455986442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179452295805,False
23,1211179453802257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179516132435,False
24,1211168044721837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168045929422,False
25,1211168110979434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168045932157,False
26,1211168044539972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168045311142,False
27,1211168180178629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168045944114,False
28,1211168111220151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168045959759,False
29,1211168045520763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168111040216,False
30,1211168180183950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168179438433,False
31,1211168045163436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168044289386,False
32,1211168110884784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168044822566,False
33,1211168180481840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168045331909,False
34,1211168045102167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168109702806,False
35,1211168180562367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168045806301,False
36,1211168045141942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168045668515,False
37,1211168110790472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168110930184,False
38,1211168110434224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168180241165,False
39,1211168179951074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168110842154,False
40,1211168180230133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168110354991,False
41,1211168110882907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168043662476,False
42,1211168110753597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168044424016,False
43,1211168044972853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
44,1211168180055271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211168044951820,False
